LGD2014NAME,2015 Default Urban/Rural,SA2011,SOA2001_name,Multiple Deprivation Measure Rank,Income Domain Rank,Employment Domain Rank,Health Deprivation and Disability Domain Rank,"Education, Skills and Training Domain Rank",Access to Services Domain Rank,Living Environment Domain Rank,Crime and Disorder Domain Rank,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,Proportion of the working age population who are employment deprived,Religion: Catholic,Religion: Presbyterian Church in Ireland,Religion: Church of Ireland,Religion: Methodist Church in Ireland,Religion: Other Christian (including Christian related),Religion: Other religions,Religion: No religion,Religion: Religion not stated,Religion: Catholic (%),Religion: Presbyterian Church in Ireland (%),Religion: Church of Ireland (%),Religion: Methodist Church in Ireland (%),Religion: Other Christian (including Christian related) (%),Religion: Other religions (%),Religion: No religion (%),Religion: Religion not stated (%),Area_Code,MYE,centre_x,centre_y,Type of long-term condition: Deafness or partial hearing loss (%),Type of long-term condition: Blindness or partial sight loss (%),Type of long-term condition: Communication difficulty (%),Type of long-term condition: A mobility or dexterity difficulty (%),"Type of long-term condition: A learning, intellectual, social or behavioural difficulty (%)","Type of long-term condition: An emotional, psychological or mental health condition (%)",Type of long-term condition: Long-term pain or discomfort (%),Type of long-term condition: Shortness of breath or difficulty breathing (%),Type of long-term condition: Frequent periods of confusion or memory loss (%),Type of long-term condition: A chronic illness (%),Type of long-term condition: Other condition (%),Type of long-term condition: No condition (%)
Belfast,Urban,N00000974,Belmont_3,1626,4517,1311,614,684,2070,2724,1338,0.03,0.27,15,76,66,29,27,1,52,9,5.45,27.64,24.0,10.55,9.82,0.36,18.91,3.27,N00000974,291,-5.855969811250584,54.61605936106933,5.09,2.18,3.64,21.45,7.27,10.18,19.64,11.27,2.18,9.45,8.36,55.27
Belfast,Urban,N00000975,Blackstaff_1,199,437,770,546,45,3264,129,25,0.21,0.34,8,66,63,19,7,3,50,46,3.05,25.19,24.05,7.25,2.67,1.15,19.08,17.56,N00000975,309,-5.959108517390088,54.586395285827194,6.11,1.15,1.91,15.27,4.2,10.31,13.74,15.65,1.15,9.16,4.58,63.36
Belfast,Urban,N00000976,Blackstaff_1,244,566,433,249,75,3398,3844,434,0.2,0.4,19,19,41,19,8,3,19,13,13.48,13.48,29.08,13.48,5.67,2.13,13.48,9.22,N00000976,160,-5.953319376470449,54.58645921119284,4.96,0.71,2.84,17.73,4.96,8.51,14.89,12.77,3.55,13.48,7.09,61.7
Belfast,Urban,N00000977,Blackstaff_1,1502,1959,1678,1181,1112,3342,169,1526,0.13,0.23,18,60,83,43,19,5,39,18,6.32,21.05,29.12,15.09,6.67,1.75,13.68,6.32,N00000977,313,-5.955977986891953,54.58557870630509,8.42,2.81,1.75,15.44,2.81,8.07,12.63,12.98,4.21,7.37,6.32,61.4
Belfast,Urban,N00000978,Blackstaff_1,116,13,984,1141,61,3323,99,533,0.35,0.31,17,77,32,15,24,1,40,33,7.11,32.22,13.39,6.28,10.04,0.42,16.74,13.81,N00000978,270,-5.9552826219975135,54.58679790036783,6.28,0.84,1.26,13.39,2.09,7.53,9.21,10.46,3.77,7.95,7.11,66.53
Belfast,Urban,N00000979,Blackstaff_1,1017,2532,879,808,810,3406,201,201,0.12,0.32,16,51,47,18,12,1,51,21,7.37,23.5,21.66,8.29,5.53,0.46,23.5,9.68,N00000979,197,-5.953290572139378,54.58518285287792,9.22,1.84,0.46,16.13,0.92,8.76,13.82,15.67,2.76,9.68,9.22,63.13
Belfast,Urban,N00000980,Blackstaff_1,946,274,2902,1967,1138,2511,42,1241,0.22,0.15,41,35,40,16,17,2,40,32,18.39,15.7,17.94,7.17,7.62,0.9,17.94,14.35,N00000980,297,-5.956786623934321,54.58456807666932,4.04,2.69,3.59,13.0,2.24,8.97,14.35,9.87,3.59,8.52,4.04,67.71
Belfast,Urban,N00000981,Blackstaff_1,674,668,1432,1933,253,1710,19,2347,0.19,0.26,24,39,48,4,20,3,44,25,11.59,18.84,23.19,1.93,9.66,1.45,21.26,12.08,N00000981,210,-5.963446429290776,54.57759121764567,2.9,2.42,0.0,10.63,1.93,6.76,11.11,10.63,0.48,9.66,8.21,65.7
Belfast,Urban,N00000982,Blackstaff_1,958,597,1825,2151,705,3091,53,791,0.19,0.22,47,54,36,11,9,5,57,33,18.65,21.43,14.29,4.37,3.57,1.98,22.62,13.1,N00000982,268,-5.954513734840464,54.583927670404414,4.37,2.38,2.38,7.94,1.59,4.37,10.32,10.32,1.98,5.16,2.38,71.43
Belfast,Urban,N00000983,Blackstaff_2,1147,1160,1202,950,1519,3703,303,758,0.16,0.28,24,81,83,44,14,8,56,26,7.14,24.11,24.7,13.1,4.17,2.38,16.67,7.74,N00000983,345,-5.95193946435762,54.590218544954205,3.57,1.79,1.79,11.9,3.57,7.14,10.42,6.85,1.19,5.36,4.17,66.67
Belfast,Urban,N00000984,Blackstaff_2,951,222,2173,1927,2295,3782,81,532,0.23,0.19,51,58,60,8,32,10,67,43,15.5,17.63,18.24,2.43,9.73,3.04,20.36,13.07,N00000984,382,-5.950386924250548,54.58724516912256,4.86,0.91,1.82,7.29,2.43,8.51,7.9,8.21,2.13,4.26,3.95,72.64
Belfast,Urban,N00000985,Blackstaff_2,489,1832,451,263,128,3295,3649,628,0.14,0.4,17,59,81,27,7,3,27,23,6.97,24.18,33.2,11.07,2.87,1.23,11.07,9.43,N00000985,300,-5.948100159290418,54.591186764264606,5.74,4.51,2.87,23.36,3.28,11.07,19.26,13.93,3.28,8.61,7.79,57.79
Belfast,Urban,N00000986,Blackstaff_2,476,1074,997,600,83,2451,724,351,0.17,0.31,27,55,48,15,6,3,39,21,12.62,25.7,22.43,7.01,2.8,1.4,18.22,9.81,N00000986,272,-5.953541320902513,54.59036245729168,1.87,0.47,0.93,10.75,1.87,7.48,9.81,8.88,1.4,6.54,4.21,68.22
Belfast,Urban,N00000987,Blackstaff_2,1348,2395,1885,1591,182,3626,884,650,0.12,0.21,23,86,81,27,36,6,64,44,6.27,23.43,22.07,7.36,9.81,1.63,17.44,11.99,N00000987,462,-5.949560387643803,54.589531325357115,4.09,1.36,1.09,11.44,1.91,5.45,10.08,9.54,1.91,7.08,4.63,70.03
Belfast,Urban,N00000988,Blackstaff_2,2232,4454,2285,2579,870,3667,152,194,0.04,0.18,25,30,27,7,13,3,22,19,17.12,20.55,18.49,4.79,8.9,2.05,15.07,13.01,N00000988,142,-5.952149092200184,54.58727501186043,6.16,2.74,0.68,8.9,0.0,6.16,10.27,11.64,2.05,4.79,8.22,66.44
Belfast,Urban,N00000989,Blackstaff_2,280,411,810,702,71,3384,184,491,0.21,0.33,9,45,91,43,18,3,35,18,3.44,17.18,34.73,16.41,6.87,1.15,13.36,6.87,N00000989,312,-5.9564351453990865,54.58849756974072,5.34,2.29,1.91,14.89,3.82,11.45,11.07,17.94,3.44,10.31,5.73,56.11
Belfast,Urban,N00000990,Blackstaff_2,853,1030,1468,905,626,2915,199,364,0.17,0.25,33,48,60,22,20,7,55,29,12.04,17.52,21.9,8.03,7.3,2.55,20.07,10.58,N00000990,264,-5.953798410316547,54.58801273546437,4.01,1.09,0.36,10.95,3.65,9.12,10.22,8.76,1.82,6.57,4.01,69.34
Belfast,Urban,N00000991,Bloomfield_1,868,1023,1091,936,1016,3617,112,447,0.17,0.3,28,62,58,9,15,4,55,38,10.41,23.05,21.56,3.35,5.58,1.49,20.45,14.13,N00000991,262,-5.889822840969105,54.596734441314815,9.67,5.95,1.86,21.19,2.23,7.81,20.45,15.61,4.09,8.55,7.81,53.9
Belfast,Urban,N00000992,Bloomfield_1,1191,1393,1553,1222,957,4484,155,327,0.15,0.24,40,97,75,21,44,3,123,59,8.66,21.0,16.23,4.55,9.52,0.65,26.62,12.77,N00000992,472,-5.885163890165689,54.596158910799055,4.98,1.52,1.73,8.66,2.16,8.66,11.47,9.09,1.73,5.63,5.41,68.83
Belfast,Urban,N00000993,Bloomfield_1,1140,2689,1395,1114,311,4328,76,586,0.11,0.26,9,48,38,4,23,3,53,58,3.81,20.34,16.1,1.69,9.75,1.27,22.46,24.58,N00000993,241,-5.887404941347983,54.59561403132688,3.81,2.54,1.27,13.98,5.08,10.17,12.71,9.75,2.97,4.24,6.78,59.75
Belfast,Urban,N00000994,Bloomfield_1,1032,1228,1415,1090,501,3360,1333,257,0.16,0.26,99,217,174,34,58,7,210,129,10.67,23.38,18.75,3.66,6.25,0.75,22.63,13.9,N00000994,933,-5.890276452005227,54.593947982167194,5.6,2.37,1.51,14.12,2.26,7.87,10.45,11.42,2.37,6.57,5.71,66.16
Belfast,Urban,N00000995,Bloomfield_2,2463,1562,3043,2511,1327,3803,1249,2358,0.15,0.14,10,44,47,12,21,0,38,23,5.13,22.56,24.1,6.15,10.77,0.0,19.49,11.79,N00000995,187,-5.88312491223906,54.59101969908844,5.13,1.54,2.05,12.82,2.05,8.72,10.77,12.31,2.05,9.23,5.64,67.18
