LGD2014NAME,2015 Default Urban/Rural,SA2011,SOA2001_name,Multiple Deprivation Measure Rank,Income Domain Rank,Employment Domain Rank,Health Deprivation and Disability Domain Rank,"Education, Skills and Training Domain Rank",Access to Services Domain Rank,Living Environment Domain Rank,Crime and Disorder Domain Rank,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,Proportion of the working age population who are employment deprived,Religion: Catholic,Religion: Presbyterian Church in Ireland,Religion: Church of Ireland,Religion: Methodist Church in Ireland,Religion: Other Christian (including Christian related),Religion: Other religions,Religion: No religion,Religion: Religion not stated,Religion: Catholic (%),Religion: Presbyterian Church in Ireland (%),Religion: Church of Ireland (%),Religion: Methodist Church in Ireland (%),Religion: Other Christian (including Christian related) (%),Religion: Other religions (%),Religion: No religion (%),Religion: Religion not stated (%),Area_Code,MYE,centre_x,centre_y,Type of long-term condition: Deafness or partial hearing loss (%),Type of long-term condition: Blindness or partial sight loss (%),Type of long-term condition: Communication difficulty (%),Type of long-term condition: A mobility or dexterity difficulty (%),"Type of long-term condition: A learning, intellectual, social or behavioural difficulty (%)","Type of long-term condition: An emotional, psychological or mental health condition (%)",Type of long-term condition: Long-term pain or discomfort (%),Type of long-term condition: Shortness of breath or difficulty breathing (%),Type of long-term condition: Frequent periods of confusion or memory loss (%),Type of long-term condition: A chronic illness (%),Type of long-term condition: Other condition (%),Type of long-term condition: No condition (%)
Lisburn and Castlereagh,Urban,N00001823,Dundonald_1,4461,4487,4424,4042,3649,2464,4458,2570,0.03,0.06,33,96,90,35,49,5,65,10,8.62,25.07,23.5,9.14,12.79,1.31,16.97,2.61,N00001823,385,-5.815185711312432,54.590719301871786,6.01,1.57,0.52,10.97,1.83,3.92,9.66,9.14,1.57,7.31,5.48,68.93
Lisburn and Castlereagh,Mixed urban/rural,N00001824,Dundonald_1,3225,1748,3012,3979,4087,1093,3401,4407,0.14,0.14,15,110,99,34,44,6,49,8,4.11,30.14,27.12,9.32,12.05,1.64,13.42,2.19,N00001824,321,-5.804597238532009,54.60749180456297,2.47,1.37,0.82,7.4,1.92,2.47,5.75,6.03,0.27,4.93,7.12,76.16
Lisburn and Castlereagh,Urban,N00001825,Dundonald_2,3987,4452,3558,2336,2072,3881,4065,3710,0.04,0.12,7,77,48,10,34,0,46,18,2.92,32.08,20.0,4.17,14.17,0.0,19.17,7.5,N00001825,223,-5.800812107681541,54.596739572882825,5.83,2.92,0.0,10.83,2.08,4.58,11.25,11.25,0.83,7.5,7.92,64.17
Lisburn and Castlereagh,Urban,N00001826,Dundonald_2,4255,4069,3694,2927,3923,2572,4488,4392,0.07,0.11,7,117,64,28,53,3,57,15,2.03,34.01,18.6,8.14,15.41,0.87,16.57,4.36,N00001826,342,-5.800949976479986,54.599922868706756,4.94,0.0,0.58,6.1,0.58,5.23,8.14,7.85,1.45,6.1,4.94,73.26
Lisburn and Castlereagh,Urban,N00001827,Dundonald_2,4404,4328,4084,4212,2834,3282,2940,4529,0.05,0.09,21,101,79,26,42,1,48,16,6.29,30.24,23.65,7.78,12.57,0.3,14.37,4.79,N00001827,297,-5.799553392593816,54.598271140087775,3.89,1.2,0.3,9.58,0.3,1.8,4.79,7.49,0.0,7.19,4.79,76.95
Lisburn and Castlereagh,Urban,N00001828,Dundonald_2,3865,4043,3163,2137,3128,3001,3940,3395,0.07,0.14,20,62,54,26,31,2,40,22,7.78,24.12,21.01,10.12,12.06,0.78,15.56,8.56,N00001828,267,-5.8026348419028935,54.59794976404367,6.23,1.17,3.11,14.01,1.56,6.23,11.67,8.17,1.56,7.39,5.45,69.26
Lisburn and Castlereagh,Urban,N00001829,Dundonald_2,2827,1620,2506,2247,2837,2919,4215,3762,0.15,0.17,9,60,54,16,31,3,51,14,3.78,25.21,22.69,6.72,13.03,1.26,21.43,5.88,N00001829,244,-5.805943333101975,54.59829733771668,6.72,5.04,0.42,8.4,0.0,5.46,9.24,8.82,0.84,5.88,6.3,66.81
Lisburn and Castlereagh,Urban,N00001830,Enler,1681,3257,1592,890,565,2471,3348,1392,0.1,0.24,8,121,90,28,28,2,78,38,2.04,30.79,22.9,7.12,7.12,0.51,19.85,9.67,N00001830,370,-5.7897530284564755,54.586357677820544,4.33,0.76,1.53,11.7,2.8,6.36,12.72,10.43,2.04,7.89,5.6,67.43
Lisburn and Castlereagh,Urban,N00001831,Enler,3863,3134,3902,2953,3343,2332,2721,3126,0.1,0.1,12,126,74,16,35,0,64,10,3.56,37.39,21.96,4.75,10.39,0.0,18.99,2.97,N00001831,330,-5.792215455982715,54.58430906665911,2.37,1.48,0.59,7.72,2.37,5.04,7.12,8.61,0.3,5.64,5.93,70.03
Lisburn and Castlereagh,Urban,N00001832,Enler,1978,2876,1779,948,905,3591,3996,1219,0.11,0.22,0,65,76,30,22,0,41,17,0.0,25.9,30.28,11.95,8.76,0.0,16.33,6.77,N00001832,282,-5.7910948853647275,54.590434564840784,5.98,1.2,1.99,18.73,3.19,7.17,18.73,12.35,1.99,12.75,5.18,55.78
Lisburn and Castlereagh,Urban,N00001833,Enler,1843,2166,1608,1092,1131,4045,3225,990,0.13,0.24,10,121,57,45,18,1,57,18,3.06,37.0,17.43,13.76,5.5,0.31,17.43,5.5,N00001833,302,-5.793889322101505,54.5902609251194,8.26,3.06,0.92,15.9,3.06,10.7,14.07,11.01,0.92,8.56,6.73,56.27
Lisburn and Castlereagh,Urban,N00001834,Enler,1404,1309,1449,1017,902,3322,3732,1292,0.16,0.25,1,49,88,24,22,6,35,10,0.43,20.85,37.45,10.21,9.36,2.55,14.89,4.26,N00001834,234,-5.794097841264689,54.588979828773816,11.49,1.7,1.7,22.13,2.98,7.23,19.15,19.15,2.98,15.74,5.11,50.21
Lisburn and Castlereagh,Urban,N00001835,Enler,870,971,1584,1008,93,2905,4082,2029,0.17,0.24,5,86,66,36,33,5,50,14,1.69,29.15,22.37,12.2,11.19,1.69,16.95,4.75,N00001835,285,-5.796691771091542,54.58850595385906,5.42,1.36,1.02,21.02,3.05,11.53,16.61,14.92,3.39,10.17,7.12,57.97
Lisburn and Castlereagh,Urban,N00001836,Enler,2084,4284,1372,829,940,3213,3802,2122,0.05,0.26,17,70,70,30,31,4,51,11,5.99,24.65,24.65,10.56,10.92,1.41,17.96,3.87,N00001836,271,-5.792786783468855,54.587760868117975,7.04,2.46,1.76,16.9,1.06,10.92,15.85,12.32,0.7,11.97,5.63,58.45
Lisburn and Castlereagh,Urban,N00001837,Enler,1767,4381,1139,1265,403,2485,4069,2288,0.05,0.29,12,79,57,16,24,0,30,18,5.08,33.47,24.15,6.78,10.17,0.0,12.71,7.63,N00001837,238,-5.796934656884302,54.58629999276244,7.2,2.12,1.69,24.15,0.85,5.93,18.64,11.86,1.69,15.68,6.36,58.9
Lisburn and Castlereagh,Urban,N00001838,Enler,1934,2426,1520,916,1354,2756,4405,2267,0.12,0.25,3,79,56,20,20,3,43,10,1.28,33.76,23.93,8.55,8.55,1.28,18.38,4.27,N00001838,238,-5.79399613688292,54.58628238138154,11.54,0.85,4.27,20.09,4.27,10.26,16.67,19.23,5.13,8.55,7.69,50.85
Lisburn and Castlereagh,Urban,N00001839,Galwally,3745,3676,3426,2614,2825,3228,3178,1423,0.08,0.13,177,68,52,9,19,4,56,11,44.7,17.17,13.13,2.27,4.8,1.01,14.14,2.78,N00001839,383,-5.899475883070125,54.56283086321946,7.83,3.03,4.04,13.38,2.78,4.8,9.85,10.86,1.77,8.08,6.06,63.64
Lisburn and Castlereagh,Urban,N00001840,Galwally,4448,4378,4370,4513,4444,2201,1583,3824,0.05,0.07,176,63,30,19,21,1,35,29,47.06,16.84,8.02,5.08,5.61,0.27,9.36,7.75,N00001840,356,-5.893573760856351,54.56005063119715,3.74,0.53,1.07,4.55,2.14,0.8,3.74,5.88,0.53,4.28,3.48,80.48
Lisburn and Castlereagh,Urban,N00001841,Galwally,4485,4474,4086,3849,4105,2457,4407,4428,0.03,0.09,175,37,28,11,11,6,63,14,50.72,10.72,8.12,3.19,3.19,1.74,18.26,4.06,N00001841,357,-5.899084575027043,54.560218375564446,2.9,1.45,1.45,6.96,3.19,2.9,6.96,5.51,0.87,4.35,4.06,73.62
Lisburn and Castlereagh,Urban,N00001842,Galwally,4517,4480,3964,3688,4285,3733,4298,3685,0.03,0.1,101,36,43,3,19,5,36,15,39.15,13.95,16.67,1.16,7.36,1.94,13.95,5.81,N00001842,283,-5.9045995482432145,54.55970307045233,6.59,1.16,0.0,10.47,1.16,2.71,8.53,10.85,0.39,10.47,6.98,69.38
Lisburn and Castlereagh,Urban,N00001843,Galwally,4302,4472,3396,4018,4304,2995,2480,2067,0.03,0.13,138,39,50,10,8,3,68,10,42.33,11.96,15.34,3.07,2.45,0.92,20.86,3.07,N00001843,318,-5.892825448842347,54.55777333558824,3.99,0.61,0.61,7.98,0.92,3.07,5.83,6.13,0.31,5.21,4.91,76.07
Lisburn and Castlereagh,Urban,N00001844,Galwally,4169,3277,3204,3510,3917,3722,3953,4433,0.1,0.14,123,46,40,7,17,1,43,20,41.41,15.49,13.47,2.36,5.72,0.34,14.48,6.73,N00001844,299,-5.901569700648215,54.55849145111553,5.39,1.68,1.68,7.74,3.03,4.38,6.06,5.05,0.67,4.71,6.73,72.39
Lisburn and Castlereagh,Urban,N00001845,Galwally,4227,4444,3892,3801,2933,3240,1374,3807,0.04,0.1,113,55,31,7,23,2,49,12,38.7,18.84,10.62,2.4,7.88,0.68,16.78,4.11,N00001845,293,-5.899462375789637,54.55768214316321,5.14,2.74,0.0,9.25,0.34,3.42,8.22,4.11,0.34,7.19,5.82,70.21
Lisburn and Castlereagh,Urban,N00001846,Galwally,4516,4458,4495,3909,3914,3442,4100,2729,0.04,0.05,89,41,30,21,35,4,48,11,31.9,14.7,10.75,7.53,12.54,1.43,17.2,3.94,N00001846,269,-5.898394608725622,54.55680101721676,4.3,1.43,1.79,15.05,2.51,4.3,9.68,9.32,0.72,10.04,5.73,64.87
Belfast,Urban,N00001847,Gilnahirk,4354,3740,4363,4092,4012,4094,1298,2476,0.08,0.07,18,91,60,28,41,4,35,10,6.27,31.71,20.91,9.76,14.29,1.39,12.2,3.48,N00001847,281,-5.838096038275374,54.587006678799256,11.5,1.39,0.7,11.15,1.05,3.48,10.1,6.97,1.05,9.41,6.27,65.51
Belfast,Urban,N00001848,Gilnahirk,4397,3780,3615,3902,4215,4019,2561,4522,0.08,0.12,14,84,69,35,33,1,54,8,4.7,28.19,23.15,11.74,11.07,0.34,18.12,2.68,N00001848,293,-5.843604942811403,54.58522709589231,5.37,1.34,2.01,10.07,1.68,3.36,7.38,6.04,1.01,7.72,6.04,68.79
Belfast,Urban,N00001849,Gilnahirk,3531,3280,2882,2795,3051,3150,1283,3382,0.1,0.15,23,101,58,18,27,2,56,18,7.59,33.33,19.14,5.94,8.91,0.66,18.48,5.94,N00001849,294,-5.835374492502752,54.58406476580102,7.26,2.31,0.33,9.24,1.32,4.62,9.24,7.92,0.33,4.95,6.93,67.66
Belfast,Urban,N00001850,Gilnahirk,4476,4412,4238,3732,4009,3654,2575,3141,0.04,0.08,29,195,122,31,69,5,143,42,4.56,30.66,19.18,4.87,10.85,0.79,22.48,6.6,N00001850,603,-5.838769883345524,54.58304725026366,5.5,1.57,0.47,7.55,2.52,3.46,7.23,6.45,1.42,5.19,5.97,70.75
Belfast,Urban,N00001851,Gilnahirk,4529,4498,4321,4175,4189,3405,3341,4320,0.03,0.07,19,86,53,26,31,2,70,8,6.44,29.15,17.97,8.81,10.51,0.68,23.73,2.71,N00001851,311,-5.84642512528159,54.583381456972916,9.83,2.37,0.68,6.44,2.03,1.69,6.1,5.76,1.69,5.08,4.75,70.85
Belfast,Urban,N00001852,Gilnahirk,4528,4313,4334,3708,4395,4288,2820,4304,0.05,0.07,29,94,41,31,56,0,61,37,8.31,26.93,11.75,8.88,16.05,0.0,17.48,10.6,N00001852,341,-5.8406774292885055,54.58997297988223,11.75,5.16,2.87,17.19,1.72,4.58,10.03,7.45,6.88,9.46,2.58,62.75
Belfast,Urban,N00001853,Gilnahirk,4131,3969,4025,4074,4246,4473,267,1914,0.07,0.09,40,88,56,29,36,11,65,19,11.63,25.58,16.28,8.43,10.47,3.2,18.9,5.52,N00001853,335,-5.84420027577253,54.58801413752955,8.43,3.2,0.58,9.88,1.16,2.62,8.14,5.81,0.87,7.56,4.94,70.93
Lisburn and Castlereagh,Urban,N00001854,Graham's Bridge,1364,1486,1377,822,661,4258,3975,1463,0.15,0.26,1,76,44,19,31,4,40,17,0.43,32.76,18.97,8.19,13.36,1.72,17.24,7.33,N00001854,188,-5.797279104334516,54.59396174059819,10.34,3.88,3.02,18.53,1.72,8.62,15.95,11.21,2.59,7.76,7.76,52.59
Lisburn and Castlereagh,Urban,N00001855,Graham's Bridge,2589,1445,3510,2406,1789,4517,959,1700,0.15,0.12,22,84,65,12,41,7,51,10,7.53,28.77,22.26,4.11,14.04,2.4,17.47,3.42,N00001855,339,-5.802527792912924,54.59419197203724,6.51,2.4,0.68,13.01,0.0,4.11,10.96,8.56,1.71,10.62,6.16,62.67
Lisburn and Castlereagh,Urban,N00001856,Graham's Bridge,2732,3215,1909,1768,1937,3567,3461,1509,0.1,0.21,29,73,49,12,37,6,48,18,10.66,26.84,18.01,4.41,13.6,2.21,17.65,6.62,N00001856,297,-5.80904621761005,54.59094970577557,5.51,1.1,3.68,15.07,2.21,7.35,12.5,10.29,2.57,5.51,6.99,66.18
Lisburn and Castlereagh,Urban,N00001857,Graham's Bridge,2329,2566,1579,1778,1580,4295,3875,874,0.12,0.24,12,71,56,11,24,6,49,39,4.48,26.49,20.9,4.1,8.96,2.24,18.28,14.55,N00001857,254,-5.799452286080918,54.591826848963024,5.6,2.61,2.24,11.19,4.48,9.7,11.19,8.96,1.87,4.85,9.33,64.93
Lisburn and Castlereagh,Urban,N00001858,Graham's Bridge,2266,2684,2262,1072,816,3960,3955,2773,0.11,0.19,4,76,52,8,26,0,47,19,1.72,32.76,22.41,3.45,11.21,0.0,20.26,8.19,N00001858,224,-5.792417255466421,54.5943044146227,7.76,1.72,1.72,18.1,3.02,10.34,16.81,19.4,1.72,10.78,11.64,51.29
Lisburn and Castlereagh,Urban,N00001859,Graham's Bridge,1412,1615,1112,711,1020,3903,4087,2494,0.15,0.29,2,74,67,23,15,2,59,24,0.75,27.82,25.19,8.65,5.64,0.75,22.18,9.02,N00001859,247,-5.790198321849063,54.593275519660665,10.15,3.38,1.5,16.17,3.01,11.28,13.91,15.41,3.38,11.28,7.14,53.01
Lisburn and Castlereagh,Urban,N00001860,Graham's Bridge,1662,2417,1131,909,981,3959,3008,2315,0.12,0.29,1,59,48,12,30,1,38,21,0.48,28.1,22.86,5.71,14.29,0.48,18.1,10.0,N00001860,222,-5.794821467289756,54.592766849415085,8.1,4.29,2.86,25.71,2.86,11.43,24.29,14.29,3.33,10.48,8.1,54.29
Lisburn and Castlereagh,Urban,N00001861,Graham's Bridge,1419,1655,1607,1207,371,3607,4114,1681,0.14,0.24,3,53,51,51,27,4,53,29,1.11,19.56,18.82,18.82,9.96,1.48,19.56,10.7,N00001861,268,-5.796462743575804,54.591314181545535,2.58,0.37,0.74,12.18,3.69,6.64,14.39,11.07,0.37,5.17,5.54,65.68
Lisburn and Castlereagh,Urban,N00001862,Graham's Bridge,2571,2062,2762,2364,1484,4049,1155,1730,0.13,0.16,36,97,63,24,65,12,61,29,9.3,25.06,16.28,6.2,16.8,3.1,15.76,7.49,N00001862,431,-5.805305962014911,54.59029786488356,3.88,0.52,1.03,11.11,1.81,3.36,8.79,8.53,1.03,6.98,5.68,71.06
Lisburn and Castlereagh,Urban,N00001863,Graham's Bridge,2943,2294,2239,1892,2567,3167,4247,4088,0.12,0.19,22,79,43,24,30,2,52,20,8.09,29.04,15.81,8.82,11.03,0.74,19.12,7.35,N00001863,324,-5.800549594343757,54.58898049579444,10.29,2.21,2.21,21.69,1.84,5.15,17.28,10.29,2.21,12.13,5.88,56.62
Belfast,Urban,N00001864,Hillfoot,4415,3560,3983,4199,3975,3748,3441,3531,0.09,0.1,145,63,56,25,11,3,50,11,39.84,17.31,15.38,6.87,3.02,0.82,13.74,3.02,N00001864,374,-5.887102992348341,54.56678443988845,6.32,1.1,0.0,9.34,2.75,3.57,7.69,8.79,0.55,5.22,4.95,68.41
Belfast,Urban,N00001865,Hillfoot,4533,4386,4354,4204,4257,4031,2712,4477,0.05,0.07,218,107,52,37,34,0,64,29,40.3,19.78,9.61,6.84,6.28,0.0,11.83,5.36,N00001865,547,-5.900366650631578,54.565955187682206,8.5,2.22,1.11,9.24,1.66,2.59,8.32,5.91,1.11,8.5,4.62,68.21
Belfast,Urban,N00001866,Hillfoot,4095,2663,3907,3343,4290,3280,2952,4435,0.11,0.1,31,69,30,45,31,7,32,7,12.3,27.38,11.9,17.86,12.3,2.78,12.7,2.78,N00001866,237,-5.876981879130144,54.57526889912266,7.94,1.98,0.4,11.51,0.0,5.56,12.3,9.13,0.79,11.51,5.95,68.65
Belfast,Urban,N00001867,Hillfoot,4466,4515,4111,4090,3703,2397,4014,4002,0.03,0.09,74,106,47,14,36,8,65,9,20.61,29.53,13.09,3.9,10.03,2.23,18.11,2.51,N00001867,349,-5.878289864838061,54.57361162490532,5.85,0.56,0.28,7.8,0.28,3.62,8.08,5.29,1.11,5.85,5.85,72.14
Belfast,Urban,N00001868,Hillfoot,4411,2966,4439,4224,4305,3354,4419,3758,0.1,0.06,21,127,70,48,48,0,52,6,5.65,34.14,18.82,12.9,12.9,0.0,13.98,1.61,N00001868,365,-5.87389929312705,54.57417247350107,5.38,2.15,0.27,6.45,1.08,3.76,4.3,6.18,0.54,6.99,4.03,73.12
Belfast,Mixed urban/rural,N00001869,Hillfoot,4083,2833,4095,3821,4210,2087,4237,2993,0.11,0.09,47,84,55,36,56,1,43,28,13.43,24.0,15.71,10.29,16.0,0.29,12.29,8.0,N00001869,323,-5.87911465577156,54.57023868368453,6.86,2.86,4.57,19.14,2.86,4.29,9.71,7.43,6.29,7.71,6.29,64.86
Belfast,Urban,N00001870,Hillfoot,4524,4266,4389,4286,4481,2911,4134,3442,0.06,0.07,122,63,37,12,16,1,55,17,37.77,19.5,11.46,3.72,4.95,0.31,17.03,5.26,N00001870,312,-5.897253342647915,54.56575733577524,4.95,0.62,0.62,4.95,0.93,3.41,6.19,5.88,0.62,7.12,4.64,74.3
Lisburn and Castlereagh,Urban,N00001871,Knockbracken_1,4410,4336,4383,4393,2963,2081,4269,4360,0.05,0.07,162,31,28,14,35,2,64,19,45.63,8.73,7.89,3.94,9.86,0.56,18.03,5.35,N00001871,377,-5.900148709811514,54.5458336647382,1.97,0.85,0.56,5.35,0.85,2.25,6.2,5.63,1.13,4.79,3.38,80.0
Lisburn and Castlereagh,Urban,N00001872,Knockbracken_1,3547,2475,4043,3632,4443,2667,1534,438,0.12,0.09,125,19,24,15,4,8,50,11,48.83,7.42,9.38,5.86,1.56,3.13,19.53,4.3,N00001872,284,-5.900608786484931,54.54349652761409,5.08,3.13,0.39,7.42,0.78,2.73,6.64,6.64,1.95,5.47,3.91,76.17
Lisburn and Castlereagh,Urban,N00001873,Knockbracken_1,4463,3925,4431,4508,4213,2005,3715,4278,0.07,0.06,410,75,55,17,38,10,139,62,50.87,9.31,6.82,2.11,4.71,1.24,17.25,7.69,N00001873,883,-5.8955816530329415,54.54478386475119,2.36,0.74,0.87,2.73,1.86,2.23,2.61,5.09,0.62,2.23,4.34,82.75
Lisburn and Castlereagh,Urban,N00001874,Knockbracken_1,4370,4360,4393,4222,4264,1945,1555,3668,0.05,0.07,158,66,28,20,24,11,43,26,42.02,17.55,7.45,5.32,6.38,2.93,11.44,6.91,N00001874,389,-5.897475581588667,54.54942620123452,3.99,0.53,1.6,6.38,2.13,3.19,7.45,8.24,1.6,4.26,5.59,71.81
Lisburn and Castlereagh,Urban,N00001875,Knockbracken_2,4526,3935,4488,4370,4533,3089,3575,4347,0.07,0.05,107,49,43,6,28,0,46,12,36.77,16.84,14.78,2.06,9.62,0.0,15.81,4.12,N00001875,277,-5.902716437386021,54.548501895041895,8.93,1.72,1.03,12.03,1.72,2.06,12.03,7.9,2.75,11.34,7.9,63.23
Lisburn and Castlereagh,Urban,N00001876,Knockbracken_2,4234,3948,3840,3605,3832,3503,2793,1721,0.07,0.11,150,47,38,8,22,1,51,15,45.18,14.16,11.45,2.41,6.63,0.3,15.36,4.52,N00001876,281,-5.904558851214043,54.55416752205203,5.72,1.51,1.51,10.24,2.11,3.92,11.45,8.73,1.51,5.72,4.52,71.69
Lisburn and Castlereagh,Urban,N00001877,Knockbracken_2,4434,3918,4184,4234,4141,3389,2146,3245,0.07,0.08,103,80,29,7,17,4,29,13,36.52,28.37,10.28,2.48,6.03,1.42,10.28,4.61,N00001877,307,-5.9071120476616334,54.55230688982523,10.99,1.77,0.71,13.12,0.71,4.26,11.7,7.8,1.06,10.64,6.03,63.83
Lisburn and Castlereagh,Urban,N00001878,Knockbracken_2,3711,2399,3803,4099,4252,1998,1067,3359,0.12,0.11,79,57,32,14,36,4,59,26,25.73,18.57,10.42,4.56,11.73,1.3,19.22,8.47,N00001878,293,-5.90065282010001,54.551664797695445,5.21,0.0,1.3,8.47,1.95,3.58,5.86,6.84,1.3,9.12,4.56,68.4
Lisburn and Castlereagh,Urban,N00001879,Knockbracken_2,4079,3113,3949,3707,3145,2977,4036,3011,0.1,0.1,122,62,30,14,26,3,82,13,34.66,17.61,8.52,3.98,7.39,0.85,23.3,3.69,N00001879,323,-5.904246558833213,54.551214983734084,6.25,1.99,1.14,10.23,1.7,3.41,9.66,9.09,1.42,8.52,6.53,69.6
Belfast,Urban,N00001880,Lisnasharragh,4004,4482,3827,3558,1887,3008,2707,2638,0.03,0.11,5,88,45,74,23,4,45,29,1.6,28.12,14.38,23.64,7.35,1.28,14.38,9.27,N00001880,292,-5.883126346621703,54.57548441436822,6.39,0.96,0.64,8.95,0.96,3.51,7.35,9.27,1.6,4.15,3.19,70.61
Belfast,Urban,N00001881,Lisnasharragh,2374,3686,1586,1411,1046,3077,3049,3295,0.08,0.24,24,328,213,117,98,10,129,60,2.45,33.5,21.76,11.95,10.01,1.02,13.18,6.13,N00001881,985,-5.881204238305451,54.57944016723635,6.64,2.04,1.74,16.34,3.88,7.25,14.5,13.69,3.17,8.17,5.41,60.37
Belfast,Urban,N00001882,Lisnasharragh,4351,4523,4129,2843,3167,3522,3774,3538,0.02,0.09,22,60,57,61,18,1,46,16,7.83,21.35,20.28,21.71,6.41,0.36,16.37,5.69,N00001882,352,-5.885681865822497,54.57362426124104,7.12,2.85,0.71,12.1,1.78,3.56,9.25,7.12,0.71,12.46,4.98,64.77
Belfast,Urban,N00001883,Lisnasharragh,1808,3199,1329,757,754,3489,3859,2928,0.1,0.27,6,80,60,47,24,1,57,17,2.05,27.4,20.55,16.1,8.22,0.34,19.52,5.82,N00001883,283,-5.87823000577647,54.57654872265194,6.85,1.71,2.05,13.36,3.08,9.59,14.73,14.73,1.37,6.85,8.56,59.25
Belfast,Urban,N00001884,Lisnasharragh,4049,4440,3474,2945,2465,3314,3632,2908,0.04,0.12,6,79,42,52,34,1,34,13,2.3,30.27,16.09,19.92,13.03,0.38,13.03,4.98,N00001884,273,-5.886203368820864,54.575798796722026,12.26,5.36,1.15,18.01,1.92,3.83,14.18,8.81,2.3,11.49,4.98,61.3
Belfast,Urban,N00001885,Lower Braniel,1007,2514,326,432,1376,3839,4086,1244,0.12,0.43,2,66,68,22,23,3,30,15,0.87,28.82,29.69,9.61,10.04,1.31,13.1,6.55,N00001885,239,-5.864115403924424,54.58026276999317,13.1,2.62,2.62,24.45,4.8,15.72,17.9,16.16,3.93,13.97,8.3,45.41
Belfast,Urban,N00001886,Lower Braniel,1219,1627,948,969,620,3357,4029,1438,0.15,0.31,6,86,42,35,14,1,41,7,2.59,37.07,18.1,15.09,6.03,0.43,17.67,3.02,N00001886,234,-5.860884378234183,54.5790465849509,12.5,4.31,3.45,21.98,2.59,8.62,19.4,18.53,4.31,9.05,7.33,49.57
Belfast,Urban,N00001887,Lower Braniel,1798,1316,2034,1456,1150,3727,3428,1184,0.16,0.2,10,93,34,35,35,2,52,28,3.46,32.18,11.76,12.11,12.11,0.69,17.99,9.69,N00001887,287,-5.864597054915151,54.57874379297001,5.19,1.38,1.38,12.8,3.46,7.27,10.38,9.34,1.73,6.23,4.15,67.82
Belfast,Urban,N00001888,Lower Braniel,3094,4304,1967,2335,1276,3728,4026,2374,0.05,0.21,11,90,75,20,32,8,42,9,3.83,31.36,26.13,6.97,11.15,2.79,14.63,3.14,N00001888,284,-5.867334260876721,54.57816312225937,7.67,1.05,1.39,13.94,1.05,4.18,13.24,11.85,1.74,11.85,5.92,59.93
Belfast,Urban,N00001889,Lower Braniel,1420,1355,1094,915,1657,3369,1860,2391,0.16,0.3,0,82,26,23,22,3,48,27,0.0,35.5,11.26,9.96,9.52,1.3,20.78,11.69,N00001889,248,-5.860829439280194,54.57773377554577,9.09,1.3,2.16,15.58,3.03,9.09,15.58,12.55,3.9,7.79,6.93,63.64
Belfast,Urban,N00001890,Lower Braniel,4445,4340,3922,3913,3107,4113,3809,3595,0.05,0.1,28,187,71,47,62,16,109,35,5.05,33.69,12.79,8.47,11.17,2.88,19.64,6.31,N00001890,570,-5.871130621061823,54.57625326032672,6.31,1.62,0.9,10.63,1.26,2.88,9.73,6.67,1.08,6.85,5.59,69.55
Belfast,Urban,N00001891,Lower Braniel,4330,2892,4390,4381,4135,2934,3486,4112,0.11,0.07,22,114,95,33,46,9,56,15,5.64,29.23,24.36,8.46,11.79,2.31,14.36,3.85,N00001891,400,-5.86964777869766,54.57028794830734,5.13,1.54,0.51,8.72,1.79,2.31,8.72,6.92,0.26,8.46,5.38,70.0
Belfast,Urban,N00001892,Lower Braniel,4111,4136,3739,2882,2977,3999,2369,2673,0.06,0.11,14,112,42,40,30,1,32,9,5.0,40.0,15.0,14.29,10.71,0.36,11.43,3.21,N00001892,274,-5.8694049712561025,54.579385657195445,8.93,2.86,1.07,12.86,1.43,3.57,12.14,7.14,2.14,8.57,6.79,61.79
Belfast,Urban,N00001893,Minnowburn,943,3411,718,983,53,2399,3124,2501,0.09,0.35,5,79,76,13,21,3,38,35,1.85,29.26,28.15,4.81,7.78,1.11,14.07,12.96,N00001893,245,-5.938532079213242,54.55057339279407,4.07,1.85,2.59,14.81,3.7,6.3,10.74,12.22,1.48,8.15,6.3,60.74
Belfast,Urban,N00001894,Minnowburn,2251,4235,1594,1697,558,2679,3537,2657,0.06,0.24,6,79,106,14,41,2,49,23,1.88,24.69,33.13,4.38,12.81,0.63,15.31,7.19,N00001894,457,-5.933687193166526,54.545207464419924,7.81,2.81,2.5,17.5,4.06,4.69,15.31,9.69,2.81,9.06,5.63,59.38
Belfast,Urban,N00001895,Minnowburn,1495,4343,1152,552,686,2564,2291,887,0.05,0.29,12,87,77,37,39,7,42,41,3.51,25.44,22.51,10.82,11.4,2.05,12.28,11.99,N00001895,323,-5.938729309896732,54.54819570852884,8.19,3.8,2.05,21.05,3.51,9.06,17.54,12.57,3.51,9.65,6.43,52.92
Belfast,Urban,N00001896,Minnowburn,1494,2028,1285,1075,1062,1934,3181,1252,0.13,0.27,49,130,125,52,59,7,79,45,8.97,23.81,22.89,9.52,10.81,1.28,14.47,8.24,N00001896,591,-5.944796785969879,54.549251406498854,6.78,2.38,0.55,18.68,1.28,8.06,17.58,12.82,2.93,12.45,6.41,58.61
